Artwork_Name,Artist Name,Artist Reputation,Sculpture_Type,Material,Height,Width,Weight,Creation_Year,Artwork_Age,Artist_Alive,Aesthetic_Descriptor,Provenance,Previous_Auction_Price,Price
Baroque_Billy_0,Billy Jenkins,0.26,Baroque,Brass,17.0,6.0,4128.0,1868,157,No,Vibrant,Private Collection,11.23,13.91
Classical_Jean_1,Jean Bryant,0.28,Classical,Brass,3.0,3.0,61.0,1908,117,No,Intricate,Gallery Exhibition,6.78,6.83
Renaissance_Laura_2,Laura Miller,0.07,Renaissance,Clay,8.0,5.0,237.0,1873,152,No,Polished,Acquired from Artist,3.82,4.96
Abstract_Robert_3,Robert Chaires,0.12,Abstract,Aluminium,9.0,,,1878,147,No,Rustic,Private Collection,4.74,5.81
Abstract_Rosalyn_4,Rosalyn Krol,0.15,Abstract,Aluminium,17.0,6.0,324.0,1854,171,No,Vibrant,Auctioned in London,2.28,3.18
Classical_Tracy_5,Tracy Francis,0.99,Classical,Wood,46.0,19.0,1178.0,1927,98,No,Minimal,Auctioned in London,5.43,6.16
Baroque_David_6,David Hawes,0.64,Baroque,Brass,17.0,9.0,7264.0,1969,56,Yes,Vibrant,Auctioned in New York,8.44,8.26
Minimalist_David_7,David Osher,0.74,Minimalist,Clay,23.0,10.0,3287.0,1994,31,Yes,Intricate,Private Collection,12.59,12.81
Minimalist_Arnold_8,Arnold Reel,0.0,Minimalist,Clay,6.0,4.0,108.0,1947,78,No,Minimal,Acquired from Artist,4.22,3.98
Modern_James_9,James Comfort,0.12,Modern,Marble,23.0,9.0,195226.0,1854,171,No,Rustic,Inherited Estate,169.44,245.63
Abstract_Greg_10,Greg Mendez,0.14,Abstract,Bronze,47.0,25.0,40834.0,2007,18,Yes,Intricate,Gallery Exhibition,24.34,37.22
Modern_Stacey_11,Stacey Carlozzi,0.29,Modern,Stone,32.0,9.0,,1899,126,No,Rustic,Museum Deaccession,1291.29,1800.96
Classical_Beverly_12,Beverly Credeur,0.26,Classical,Bronze,13.0,6.0,1534.0,1983,42,Yes,Rustic,Auctioned in London,4.42,5.87
Classical_James_13,James Davis,0.54,Classical,Wood,26.0,9.0,,1935,90,No,Elegant,Inherited Estate,6.26,6.47
